sample_index,split,event_type
2095,train,0
2096,train,0
2097,train,0
2098,train,1
2099,train,0
2100,train,1
2101,test,1
2102,train,0
2103,train,0
2104,train,0
2105,train,0
2106,train,0
2107,train,0
2108,train,0
2109,train,0
2110,train,0
2111,train,1
2112,train,0
2113,train,0
2114,train,0
2115,validation,0
2116,validation,0
2117,train,0
2118,train,0
2119,train,0
2120,test,0
2121,train,0
2122,test,0
2123,train,0
2124,test,0
2125,train,0
2126,train,0
2127,train,1
2128,train,0
2129,train,1
2130,validation,0
2131,train,0
2132,test,0
2133,train,0
2134,train,0
2135,train,1
2136,validation,0
2137,train,0
2138,train,0
2139,validation,1
2140,train,0
2141,train,0
2142,test,0
2143,validation,0
2144,train,0
2145,train,0
2146,train,0
2147,train,0
2148,train,1
2149,train,0
2150,train,0
2151,test,0
2152,train,0
2153,train,0
2154,test,0
2155,train,0
2156,validation,0
2157,validation,0
2158,train,0
2159,train,0
2160,train,0
2161,train,1
2162,validation,0
2163,test,0
2164,train,1
2165,train,0
2166,train,1
2167,train,0
2168,train,0
2169,train,0
2170,train,0
2171,train,1
2172,test,0
2173,train,1
2174,test,0
2175,train,0
2176,train,0
2177,test,0
2178,train,1
2179,train,0
2180,train,1
2181,train,0
2182,train,0
2183,train,0
2184,train,0
2185,validation,0
2186,train,0
2187,train,0
2188,validation,0
2189,train,0
2190,train,0
2191,validation,0
2192,train,0
2193,train,0
2194,train,0
2195,train,1
2196,train,0
2197,train,0
2198,validation,0
2199,train,0
2200,validation,0
2201,train,0
2202,train,0
2203,train,0
2204,train,0
2205,test,0
2206,test,1
2207,test,0
2208,validation,0
2209,train,0
2210,test,0
2211,train,1
2212,validation,0
2213,test,0
2214,validation,0
2215,test,0
2216,test,1
2217,train,0
2218,train,0
2219,train,0
2220,train,0
2221,validation,0
2222,test,0
2223,train,0
2224,train,0
2225,train,0
2226,train,0
2227,train,0
2228,train,0
2229,train,0
2230,train,0
2231,validation,0
2232,train,0
2233,train,1
2234,test,0
2235,train,0
2236,train,0
2237,validation,0
2238,train,0
2239,train,0
2240,validation,0
2241,train,0
2242,train,0
2243,train,0
2244,train,1
2245,test,0
2246,test,0
2247,train,0
2248,train,0
2249,train,0
2250,train,1
2251,train,1
2252,train,0
2253,train,0
2254,validation,0
2255,train,1
2256,train,0
2257,train,0
2258,train,0
2259,train,0
2260,train,0
2261,validation,0
2262,train,0
2263,train,0
2264,train,0
2265,train,0
2266,validation,0
2267,train,0
2268,train,1
2269,train,0
2270,train,1
2271,validation,0
2272,train,0
2273,train,1
2274,train,1
2275,validation,0
2276,test,0
2277,validation,0
2278,train,1
2279,train,0
2280,train,0
2281,train,0
2282,train,1
2283,validation,1
2284,train,1
2285,train,0
2286,train,0
2287,train,0
2288,train,0
2289,train,0
2290,train,0
2291,train,0
2292,train,1
2293,validation,0
2294,train,0
2295,validation,0
2296,train,0
2297,validation,1
2298,train,0
2299,train,0
2300,train,0
2301,train,0
2302,test,1
2303,train,0
2304,test,1
2305,train,0
2306,train,0
2307,train,0
2308,train,0
2309,test,0
2310,train,1
2311,train,0
2312,train,0
2313,test,0
2314,validation,1
2315,train,0
2316,test,0
2317,train,0
2318,train,0
2319,train,0
2320,train,0
2321,validation,1
2322,train,0
2323,train,0
2324,validation,0
2325,validation,0
2326,validation,1
2327,train,0
2328,train,1
2329,train,0
2330,test,0
2331,train,0
2332,train,0
2333,train,0
2334,test,0
2335,train,0
2336,train,0
2337,train,0
2338,train,0
2339,train,0
2340,validation,1
2341,train,1
2342,train,1
2343,validation,0
2344,train,0
2345,train,1
2346,train,0
2347,train,0
2348,train,0
2349,train,0
2350,train,0
2351,test,1
2352,train,0
2353,train,0
2354,train,0
2355,validation,0
2356,train,0
2357,validation,0
2358,train,0
2359,train,0
2360,test,0
2361,test,0
2362,test,0
2363,train,0
2364,test,0
2365,train,1
2366,train,1
2367,train,0
2368,test,1
2369,train,1
2370,train,0
2371,train,0
2372,train,0
2373,train,1
2374,validation,0
2375,train,1
2376,train,1
2377,train,1
2378,train,0
2379,train,1
2380,train,0
2381,train,0
2382,test,0
2383,train,0
2384,train,0
2385,train,0
2386,train,0
2387,test,0
2388,train,0
2389,train,0
2390,train,0
2391,test,0
2392,validation,0
2393,train,0
2394,train,0
2395,test,0
2396,train,1
2397,train,1
2398,train,0
2399,train,0
2400,train,0
2401,validation,0
2402,validation,1
2403,train,0
2404,validation,0
2405,train,0
2406,train,0
2407,train,0
2408,train,0
2409,train,0
2410,train,1
2411,train,0
2412,train,1
2413,train,0
2414,validation,0
2415,test,1
2416,train,0
2417,train,0
2418,validation,0
2419,train,0
2420,train,0
2421,train,0
2422,train,0
2423,train,0
2424,train,0
2425,train,1
2426,train,0
2427,validation,0
2428,train,0
2429,train,1
2430,train,0
2431,train,0
2432,train,0
2433,test,0
2434,train,0
2435,train,0
2436,train,0
2437,train,1
2438,train,0
2439,validation,0
2440,validation,0
2441,train,0
2442,validation,0
2443,train,1
2444,validation,0
2445,train,1
2446,test,1
2447,train,0
2448,train,0
2449,train,1
2450,train,0
2451,train,0
2452,validation,0
2453,validation,0
2454,train,0
2455,train,0
2456,train,1
2457,train,1
2458,validation,1
2459,train,0
2460,train,0
2461,train,0
2462,test,0
2463,train,0
2464,train,1
2465,train,0
2466,validation,0
2467,test,0
2468,train,0
2469,train,0
2470,validation,0
2471,train,0
2472,train,0
2473,train,1
2474,train,0
2475,test,0
2476,train,0
2477,train,0
2478,train,0
2479,test,0
2480,train,1
2481,train,0
2482,train,0
2483,validation,0
2484,validation,0
2485,validation,1
2486,test,0
2487,train,1
2488,train,0
2489,train,0
2490,train,0
2491,train,0
2492,train,0
2493,train,1
2494,train,0
2495,train,1
2496,train,0
2497,train,0
2498,train,0
2499,test,1
2500,train,0
2501,train,0
2502,test,0
2503,test,0
2504,validation,0
2505,validation,0
2506,validation,1
2507,train,1
